,Open,High,Low,Close,Volume,Turnover
09-Aug-2016,     8727.80,     8728.35,     8638.20,     8678.25,      206261255,         9111.40
10-Aug-2016,     8686.70,     8690.10,     8564.60,     8575.30,      178963496,         8206.18
11-Aug-2016,     8572.80,     8601.15,     8540.05,     8592.15,      195114539,         8634.80
12-Aug-2016,     8605.45,     8684.30,     8604.45,     8672.15,      272014034,        11998.86
16-Aug-2016,     8670.25,     8682.35,     8600.45,     8642.55,      231771409,        10937.35
17-Aug-2016,     8639.80,     8667.10,     8603.60,     8624.05,      179540691,         8161.38
18-Aug-2016,     8648.85,     8690.70,     8645.05,     8673.25,      169431656,         7900.60
19-Aug-2016,     8694.30,     8696.60,     8647.10,     8666.90,      197770568,         8354.88
22-Aug-2016,     8667.00,     8684.85,     8614.00,     8629.15,      156976546,         7394.57
23-Aug-2016,     8628.35,     8642.15,     8580.00,     8632.60,      193302503,         7309.82
24-Aug-2016,     8648.50,     8661.05,     8620.90,     8650.30,      154168043,         7199.72
25-Aug-2016,     8668.85,     8683.05,     8583.65,     8592.20,      219736214,        10508.32
26-Aug-2016,     8614.35,     8622.95,     8547.55,     8572.55,      152146666,         7153.37
29-Aug-2016,     8583.75,     8622.00,     8543.75,     8607.45,      133723771,         6857.99
30-Aug-2016,     8646.75,     8750.60,     8642.25,     8744.35,      154828719,         8392.76
31-Aug-2016,     8754.05,     8819.20,     8754.05,     8786.20,      373422334,        22534.29
01-Sep-2016,     8793.60,     8813.25,     8759.95,     8774.65,      246336047,         9653.93
02-Sep-2016,     8796.35,     8824.10,     8768.20,     8809.65,      197385217,         8231.93
06-Sep-2016,     8852.70,     8950.85,     8848.45,     8943.00,      201617132,         9571.31
07-Sep-2016,     8968.70,     8968.70,     8913.35,     8917.95,      299145644,        11430.95
08-Sep-2016,     8915.50,     8960.35,     8896.00,     8952.50,      223937056,        10773.98
09-Sep-2016,     8934.30,     8939.15,     8858.70,     8866.70,      181344327,         9976.28
12-Sep-2016,     8732.95,     8746.95,     8699.40,     8715.60,      190199613,         9248.73
14-Sep-2016,     8710.65,     8739.85,     8688.90,     8726.60,      189984289,         9112.57
15-Sep-2016,     8743.85,     8751.95,     8704.35,     8742.55,      149889703,         7347.34
