,Open,High,Low,Close,Volume,Turnover
04-Jun-2007,     6431.25,     6491.45,     6400.65,     6448.85,        7015244,          536.64
05-Jun-2007,     6441.50,     6554.90,     6411.25,     6533.35,        9228401,          633.28
06-Jun-2007,     6561.60,     6562.50,     6312.30,     6324.30,        7792417,          565.15
07-Jun-2007,     6301.95,     6352.30,     6204.70,     6236.45,        7819039,          529.93
08-Jun-2007,     6200.35,     6271.20,     6129.95,     6177.70,        8631036,          560.43
11-Jun-2007,     6210.25,     6278.90,     6151.85,     6161.25,        4677700,          298.49
12-Jun-2007,     6177.45,     6191.95,     6059.75,     6149.95,        7601230,          506.07
13-Jun-2007,     6150.65,     6168.50,     6048.80,     6063.80,        7227965,          467.92
14-Jun-2007,     6106.90,     6157.20,     6085.20,     6122.05,        7722732,          451.30
15-Jun-2007,     6134.85,     6239.80,     6134.85,     6176.20,        8342544,          564.38
18-Jun-2007,     6210.50,     6245.80,     6157.65,     6174.40,        6135312,          368.18
19-Jun-2007,     6165.50,     6382.40,     6165.50,     6366.95,       10383100,          593.15
20-Jun-2007,     6376.50,     6508.00,     6376.50,     6496.85,       14499135,          765.29
21-Jun-2007,     6486.40,     6562.25,     6438.75,     6536.25,       11130123,          784.50
22-Jun-2007,     6544.30,     6621.15,     6521.95,     6542.05,       12883642,          847.42
25-Jun-2007,     6548.95,     6555.90,     6490.35,     6544.55,        8288499,          481.86
26-Jun-2007,     6501.50,     6547.65,     6490.75,     6515.60,        7856246,          533.92
27-Jun-2007,     6522.50,     6534.10,     6457.30,     6482.45,        7128429,          541.60
28-Jun-2007,     6509.10,     6538.15,     6487.85,     6521.35,       10821783,          733.30
29-Jun-2007,     6521.85,     6749.95,     6521.85,     6740.10,       14529806,         1010.21
02-Jul-2007,     6811.85,     6828.90,     6696.00,     6718.00,        8142499,          561.36
03-Jul-2007,     6719.65,     6882.60,     6719.65,     6857.10,       10700547,          778.60
04-Jul-2007,     6917.35,     6917.35,     6777.50,     6836.45,        7476502,          574.73
05-Jul-2007,     6845.25,     6902.80,     6739.50,     6818.35,       12026839,          867.82
06-Jul-2007,     6796.50,     6830.45,     6751.35,     6791.25,       12527274,          978.27
09-Jul-2007,     6787.75,     6895.70,     6752.40,     6867.90,       15002035,          726.79
10-Jul-2007,     6891.80,     6906.05,     6798.80,     6814.70,       12162757,          592.77
11-Jul-2007,     6779.25,     6845.20,     6752.65,     6794.70,       11274501,          508.72
12-Jul-2007,     6812.05,     6931.50,     6812.05,     6916.05,        9612807,          487.20
13-Jul-2007,     6935.00,     7032.65,     6935.00,     6980.35,       13907896,          834.29
16-Jul-2007,     6985.05,     7112.90,     6938.05,     7101.30,       15528894,          798.05
17-Jul-2007,     7064.25,     7154.40,     7020.00,     7041.75,       14901294,          847.82
18-Jul-2007,     7050.90,     7093.90,     6978.00,     7068.80,        9927061,          582.96
19-Jul-2007,     7099.15,     7157.70,     7082.10,     7137.90,        9750009,          670.79
20-Jul-2007,     7146.70,     7209.20,     7064.65,     7086.55,        9761873,          608.06
23-Jul-2007,     7073.70,     7088.80,     7024.60,     7076.30,        8992885,          484.55
24-Jul-2007,     7092.35,     7142.15,     7057.65,     7075.60,       11618186,          689.95
25-Jul-2007,     7061.35,     7068.55,     6959.25,     7003.45,       12781508,          637.26
26-Jul-2007,     7024.90,     7032.95,     6904.70,     6933.30,       13997930,          726.19
27-Jul-2007,     6864.55,     6864.55,     6608.10,     6698.65,       16698557,         1059.13
30-Jul-2007,     6726.60,     6937.10,     6650.70,     6829.80,       14113381,          927.91
31-Jul-2007,     6864.10,     6943.90,     6712.85,     6928.45,       19952573,         1270.70
01-Aug-2007,     6903.85,     6903.85,     6609.75,     6637.35,       16576485,         1220.59
02-Aug-2007,     6630.85,     6819.45,     6612.05,     6759.15,       11784655,          889.82
03-Aug-2007,     6803.00,     6903.40,     6797.30,     6854.60,        7580345,          602.58
06-Aug-2007,     6826.95,     6853.85,     6627.60,     6821.85,       10139425,          870.85
07-Aug-2007,     6846.70,     6954.65,     6796.90,     6823.45,       12356740,          898.18
08-Aug-2007,     6849.85,     6998.60,     6849.85,     6966.80,       13942212,          908.62
09-Aug-2007,     7001.50,     7110.55,     6805.60,     6837.20,       11119698,          817.15
10-Aug-2007,     6665.30,     6665.30,     6542.40,     6646.05,       11816636,          872.48
13-Aug-2007,     6650.30,     6732.30,     6622.80,     6679.75,        9480874,          692.97
14-Aug-2007,     6735.45,     6735.45,     6668.90,     6702.35,        7554196,          508.49
16-Aug-2007,     6456.20,     6509.30,     6293.65,     6305.75,       15803163,         1000.06
17-Aug-2007,     6273.70,     6375.45,     6083.85,     6245.60,       20527473,         1408.66
20-Aug-2007,     6358.05,     6567.60,     6358.05,     6491.50,       10850530,          764.95
21-Aug-2007,     6490.75,     6521.50,     6173.70,     6210.45,       10448039,          724.37
22-Aug-2007,     6242.40,     6312.60,     6058.35,     6228.85,       21848276,         1189.30
23-Aug-2007,     6303.45,     6397.15,     6061.55,     6090.25,       15761374,          904.92
24-Aug-2007,     6128.85,     6196.65,     6071.45,     6176.55,       14089992,          896.09
27-Aug-2007,     6278.50,     6492.25,     6278.50,     6471.85,       16506999,         1200.42
28-Aug-2007,     6470.40,     6522.05,     6425.35,     6485.50,       12609369,          925.94
29-Aug-2007,     6409.40,     6535.90,     6326.50,     6509.30,       15107965,         1119.22
30-Aug-2007,     6581.40,     6609.45,     6532.90,     6572.45,       18816123,         1246.41
31-Aug-2007,     6582.10,     6714.40,     6568.20,     6675.85,        9997528,          764.25
03-Sep-2007,     6712.60,     6788.05,     6707.45,     6774.05,        9933434,          665.89
04-Sep-2007,     6852.25,     6863.35,     6759.10,     6801.65,        8947024,          590.37
05-Sep-2007,     6784.50,     6850.45,     6754.40,     6777.65,        8925923,          665.49
06-Sep-2007,     6718.90,     6878.30,     6673.75,     6868.85,        7242822,          547.24
07-Sep-2007,     6839.90,     6922.60,     6820.65,     6842.95,       10515414,          688.56
10-Sep-2007,     6787.65,     6883.00,     6740.70,     6870.35,        6435346,          440.77
11-Sep-2007,     6903.15,     6915.35,     6805.00,     6815.60,        6362084,          461.10
12-Sep-2007,     6837.45,     6875.95,     6773.65,     6784.40,        6734469,          419.31
13-Sep-2007,     6789.30,     6912.05,     6789.30,     6904.20,       10480568,          805.01
14-Sep-2007,     6941.90,     7062.90,     6898.70,     6912.15,       14476118,         1033.96
17-Sep-2007,     6898.00,     6977.20,     6843.00,     6897.10,        5817404,          415.15
18-Sep-2007,     6921.15,     7078.95,     6883.60,     7059.65,       10376047,          785.75
19-Sep-2007,     7111.00,     7419.35,     7111.00,     7401.85,       18727572,         1418.79
20-Sep-2007,     7404.95,     7462.90,     7343.60,     7390.15,        9870618,          813.13
21-Sep-2007,     7378.30,     7506.35,     7367.15,     7464.50,        8653594,          613.03
24-Sep-2007,     7514.40,     7661.05,     7514.40,     7650.90,       12193562,          888.85
25-Sep-2007,     7658.50,     7694.25,     7490.20,     7629.15,        8998650,          696.67
26-Sep-2007,     7647.10,     7829.85,     7591.80,     7755.90,       12887012,         1098.13
